Location,Spaghetti Noodles,Spaghetti Sauce,Green Peppers,Tomato Paste,Onions x2,Apple Juice,Butter 1/4,Coffee 1/4,antihistamine,Ibuprofen,Row Sum
"Itta, Bena, MS",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Oxford, MS",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Cape, Girardeau, MO",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Kirksville, MO",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Maryville, MO",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Rolla, MO",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Warrensburg, MO",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Dillon, MT",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Missoula, MT",1.89,1.69,1.89,0.85,0.85,1.99,3.99,13.29,7.99,3.99,38.42
"Kearney, NE",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Wayne, NE",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Plymouth, NH",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Las, Vegas, NM",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Portales, NM",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Silver, City, NM",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Alfred, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Binghamton, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Cobleskill, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Delhi, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Fredonia, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,8.99,3.99,41.36
"Oneonta, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Oswego, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Plattsburgh, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Potsdam, NY",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Boone, NC",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Cullowhee, NC",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Pembroke, NC",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Athens, OH",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Durant, OK",1.89,1.69,1.59,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.26
"Langston, OK",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Tahlequah, OK",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Weatherford, OK",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Ashland, OR",1.99,1.69,1.89,0.85,0.75,1.99,6.49,13.29,7.99,3.99,40.92
"Corvallis, OR",1.99,1.69,1.89,0.85,0.75,1.99,6.49,13.29,7.99,3.99,40.92
"Bloomsburg, PA",1.79,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.26
"Clarion, PA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"East, Stroudsburg, PA",1.79,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.26
"Edinboro, PA",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Indiana, PA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Lock, Haven, PA",1.79,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.46
"Mansfield, PA",1.79,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.46
"Shippensburg, PA",1.79,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.46
"Slippery, Rock, PA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Kingston, RI",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Orangeburg, SC",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Brookings, SD",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Madison, SD",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Spearfish, SD",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Vermillion, SD",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Cookeville, TN",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Martin, TN",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Alpine, TX",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Canyon, TX",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Commerce, TX",1.89,1.69,1.59,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.26
"Huntsville, TX",1.89,1.69,1.59,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.26
"Kingsville, TX",1.89,1.69,1.59,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.26
"Nacogdoches, TX",1.89,1.69,1.59,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.26
"Stephenville, TX",1.89,1.69,1.59,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.26
"Cedar, City, UT",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Logan, UT",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Burlington, VT",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Randolph, VT",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Farmville, VA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Harrisonburg, VA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Lexington, VA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Wise, VA",1.89,1.69,1.59,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.26
"Cheney, WA",1.99,1.69,1.89,0.85,0.75,1.99,6.49,13.29,7.99,3.99,40.92
"Ellensburg, WA",1.99,1.69,1.89,0.85,0.75,1.99,6.49,13.29,7.99,3.99,40.92
"Pullman, WA",1.99,1.69,1.89,0.85,0.75,1.99,6.49,13.29,7.99,3.99,40.92
"Huntington, WV",1.89,1.59,1.89,0.85,0.95,1.99,6.49,13.29,7.99,3.99,40.92
"La, Crosse, WI",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Menomonie, WI",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Platteville, WI",1.89,1.69,1.89,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.56
"River, Falls, WI",1.89,1.69,1.89,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.56
"Stevens, Point, WI",1.89,1.69,1.89,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.56
"Whitewater, WI",1.89,1.69,1.89,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.56
"Laramie, WY",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
